raw_speciesname_europe,RLCNum_species,raw_country_code,raw_red_list_category,Country.x,RLCNum,Country.y,EU,Area,Npeople,sqrtArea
Aglais ichnusa,1,FR,Unknown,France,1,France,EU,551394,64979548,742.559088557941
Aglais ichnusa,1,IT,LC,Italy,1,Italy,EU,301318,59359900,548.924402809713
Aglais io,1.59375,AD,LC,Andorra,1,Andorra,,468,76965,21.633307652783937
Aglais io,1.59375,AL,Unknown,Albania,1,Albania,,28748,2930187,169.55235179731363
Aglais io,1.59375,AT,LC,Austria,1,Austria,EU,83858,8735453,289.5824580322503
Aglais io,1.59375,BA,LC,Bosnia and Herzegovina,1,Bosnia and Herzegovina,,51129,3507017,226.11722623453525
Aglais io,1.59375,BE,LC,Belgium,1,Belgium,EU,30528,11429336,174.72263734273244
Aglais io,1.59375,BG,LC,Bulgaria,1,Bulgaria,EU,110994,7084571,333.15762035409006
Aglais io,1.59375,BY,Unknown,Belarus,1,Belarus,,207600,9468338,455.6314299957807
Aglais io,1.59375,CH,LC,Switzerland,1,Switzerland,,41290,8476005,203.19940944796076
Aglais io,1.59375,CZ,NE,Czech Republic,1,Czech Republic,EU,78866,10618303,280.8309099796531
Aglais io,1.59375,DE,LC,Germany,1,Germany,EU,357168,82114224,597.6353403205002
Aglais io,1.59375,DK,LC,Denmark,1,Denmark,EU,44493,5733551,210.93363885355035
Aglais io,1.59375,EE,LC,Estonia,1,Estonia,EU,45339,1309632,212.9295658193103
Aglais io,1.59375,ES,NE,Spain,1,Spain,EU,498468,46354321,706.022662525786
Aglais io,1.59375,FI,LC,Finland,1,Finland,EU,338145,5523231,581.5023645695691
Aglais io,1.59375,FR,LC,France,1,France,EU,551394,64979548,742.559088557941
Aglais io,1.59375,GB,LC,United Kingdom,1,United Kingdom,EU,244820,66181585,494.79288596340996
Aglais io,1.59375,GR,LC,Greece,1,Greece,EU,131940,11159773,363.23546082396746
Aglais io,1.59375,HR,LC,Croatia,1,Croatia,EU,56594,4189353,237.8949347926517
Aglais io,1.59375,HU,LC,Hungary,1,Hungary,EU,93030,9721559,305.00819661117305
Aglais io,1.59375,IE,LC,Ireland,1,Ireland,EU,70273,4761657,265.09055056716
Aglais io,1.59375,IT,LC,Italy,1,Italy,EU,301318,59359900,548.924402809713
Aglais io,1.59375,LI,No Red List available,,,Liechtenstein,,160,37922,12.649110640673518
Aglais io,1.59375,LT,LC,Lithuania,1,Lithuania,EU,65300,2890297,255.53864678361276
Aglais io,1.59375,LU,NT,Luxembourg,20,Luxembourg,EU,2428,583455,49.27473997901968
Aglais io,1.59375,LV,No Red List available,,,Latvia,EU,64589,1949670,254.14366016094127
Aglais io,1.59375,MD,No Red List available,,,Moldova,,33846,4051212,183.97282408007982
Aglais io,1.59375,ME,No Red List available,,,Montenegro,,13812,628960,117.52446553803169
Aglais io,1.59375,MK,Unknown,Macedonia,1,Macedonia,,25713,2083160,160.3527361787132
Aglais io,1.59375,NL,LC,Netherlands,1,Netherlands,EU,41198,17035938,202.97290459566273
Aglais io,1.59375,NO,LC,Norway,1,Norway,,385178,5305383,620.6271022119482
Aglais io,1.59375,PL,LC,Poland,1,Poland,EU,312685,38170712,559.1824389231122
Aglais io,1.59375,PT,No Red List available,,,Portugal,EU,91568,10329506,302.60204890251487
Aglais io,1.59375,RO,LC,,,Romania,EU,238392,19679306,488.2540322414143
Aglais io,1.59375,RS,LC,Serbia,1,Serbia,,88361,8790574,297.25578211365377
Aglais io,1.59375,RU,No Red List available,,,Russia,,3972400,,1993.0880562584284
Aglais io,1.59375,SE,LC,Sweden,1,Sweden,EU,449964,9910701,670.7935598975291
Aglais io,1.59375,SI,LC,Slovenia,1,Slovenia,EU,20273,2079976,142.38328553590833
Aglais io,1.59375,SK,LC,Slovakia,1,Slovakia,EU,49036,5447662,221.44073699299324
Aglais io,1.59375,UA,LC,Ukraine,1,Ukraine,,603628,44222947,776.9350037165271
Aglais urticae,1,AD,LC,Andorra,1,Andorra,,468,76965,21.633307652783937
Aglais urticae,1,AL,Unknown,Albania,1,Albania,,28748,2930187,169.55235179731363
